,index,PlayerHeight,PlayerWeight,Yards,Down,YardLine,Distance,Week,Temperature,Humidity,HomeScoreBeforePlay,VisitorScoreBeforePlay,Position
0,18,70,205,8,3,35,2,1,63.0,77.0,0,0,RB
1,40,70,205,3,1,43,10,1,63.0,77.0,0,0,RB
2,62,70,205,5,1,35,10,1,63.0,77.0,0,0,RB
3,84,71,210,2,2,2,2,1,63.0,77.0,0,0,RB
4,98,71,216,7,1,25,10,1,63.0,77.0,7,0,RB
5,128,70,205,10,3,29,7,1,63.0,77.0,7,0,RB
6,149,70,215,-1,2,19,10,1,63.0,77.0,7,0,RB
7,172,71,210,0,4,10,1,1,63.0,77.0,7,0,RB
8,186,71,216,9,1,10,10,1,63.0,77.0,7,0,RB
9,208,71,216,9,1,50,10,1,63.0,77.0,7,0,RB
10,230,71,216,2,2,9,9,1,63.0,77.0,7,0,RB
11,259,71,210,3,1,25,10,1,63.0,77.0,7,7,RB
12,304,70,205,4,2,12,5,1,63.0,77.0,7,7,RB
13,326,70,205,0,3,8,1,1,63.0,77.0,7,7,RB
14,391,71,210,4,2,22,6,1,63.0,77.0,10,7,RB
15,435,71,210,16,1,36,10,1,63.0,77.0,10,7,RB
16,458,71,210,9,1,20,10,1,63.0,77.0,10,7,RB
17,480,71,210,4,2,11,1,1,63.0,77.0,10,7,RB
18,502,71,210,2,1,7,7,1,63.0,77.0,10,7,RB
19,524,71,210,2,1,2,2,1,63.0,77.0,10,7,RB
20,538,71,216,3,1,23,10,1,63.0,77.0,17,7,RB
21,608,68,195,4,1,40,10,1,63.0,77.0,17,7,RB
22,626,71,216,7,1,4,14,1,63.0,77.0,17,7,RB
23,648,71,216,10,1,25,10,1,63.0,77.0,17,14,RB
24,677,71,210,2,1,28,10,1,63.0,77.0,17,14,RB
25,700,71,210,-4,2,30,8,1,63.0,77.0,17,14,RB
26,722,71,210,4,2,25,10,1,63.0,77.0,17,21,RB
27,741,68,195,5,2,46,10,1,63.0,77.0,17,21,RB
28,758,71,216,1,1,14,10,1,63.0,77.0,17,21,RB
29,788,71,210,0,1,1,1,1,63.0,77.0,17,21,RB
30,810,71,210,1,2,1,1,1,63.0,77.0,17,21,RB
31,824,71,216,1,2,11,12,1,63.0,77.0,24,21,RB
32,853,70,205,7,1,18,10,1,63.0,77.0,24,21,RB
33,875,70,205,4,2,11,3,1,63.0,77.0,24,21,RB
34,898,70,205,-6,2,4,4,1,63.0,77.0,24,21,RB
35,912,71,216,13,1,5,15,1,63.0,77.0,27,21,RB
36,942,71,210,0,4,40,1,1,63.0,77.0,27,28,RB
37,963,70,215,2,1,13,10,1,63.0,77.0,27,28,RB
38,985,70,215,14,2,15,8,1,63.0,77.0,27,28,RB
39,1000,71,216,7,2,49,1,1,63.0,77.0,27,28,RB
40,1022,71,216,4,1,4,4,1,63.0,77.0,27,28,RB
41,1063,70,205,21,1,21,10,1,63.0,77.0,27,35,RB
42,1088,71,216,2,1,42,10,1,63.0,77.0,27,42,RB
43,1110,71,216,2,2,40,8,1,63.0,77.0,27,42,RB
44,1132,71,216,3,3,33,1,1,63.0,77.0,27,42,RB
45,1156,71,210,3,2,25,10,1,65.0,53.0,0,0,RB
46,1181,69,250,16,1,48,10,1,65.0,53.0,0,0,FB
47,1203,69,250,4,1,32,10,1,65.0,53.0,0,0,FB
48,1222,71,210,3,2,28,6,1,65.0,53.0,0,0,RB
49,1244,71,210,10,1,15,10,1,65.0,53.0,0,0,RB
50,1270,69,250,-6,1,2,2,1,65.0,53.0,0,0,FB
51,1288,71,210,3,1,36,15,1,65.0,53.0,0,0,RB
52,1310,71,210,-1,1,23,10,1,65.0,53.0,0,0,RB
53,1332,71,210,1,2,42,4,1,65.0,53.0,0,0,RB
54,1354,71,210,23,3,43,3,1,65.0,53.0,0,0,RB
55,1379,69,250,0,1,34,10,1,65.0,53.0,0,0,FB
56,1401,69,250,14,1,22,10,1,65.0,53.0,0,0,FB
57,1420,71,210,2,1,8,8,1,65.0,53.0,0,0,RB
58,1442,71,210,20,1,40,10,1,65.0,53.0,7,3,RB
59,1464,71,210,-1,1,20,10,1,65.0,53.0,7,3,RB
60,1489,69,250,3,3,31,21,1,65.0,53.0,7,3,FB
61,1497,70,204,4,2,36,10,1,65.0,53.0,7,3,RB
62,1519,70,204,3,1,49,10,1,65.0,53.0,7,3,RB
63,1541,70,204,2,1,41,10,1,65.0,53.0,7,3,RB
64,1563,70,204,0,1,25,10,1,65.0,53.0,7,6,RB
65,1584,74,218,1,1,38,10,1,65.0,53.0,7,6,RB
66,1618,71,210,1,1,32,10,1,65.0,53.0,7,6,RB
67,1628,74,218,0,1,21,10,1,65.0,53.0,7,6,RB
68,1662,71,210,0,1,36,10,1,65.0,53.0,7,6,RB
69,1684,71,210,2,1,17,10,1,65.0,53.0,7,6,RB
70,1694,74,218,8,1,25,10,1,65.0,53.0,14,6,RB
71,1717,70,204,1,1,31,10,1,65.0,53.0,14,6,RB
72,1750,71,210,8,2,20,10,1,65.0,53.0,14,12,RB
73,1774,69,250,1,1,46,10,1,65.0,53.0,14,12,FB
74,1819,69,250,0,1,26,10,1,65.0,53.0,14,12,FB
75,1838,71,210,3,1,4,4,1,65.0,53.0,14,12,RB
76,1863,69,250,1,2,1,1,1,65.0,53.0,14,12,FB
77,1871,70,204,1,2,19,8,1,65.0,53.0,21,12,RB
78,1893,70,204,11,3,20,7,1,65.0,53.0,21,12,RB
79,1914,74,218,4,2,35,6,1,65.0,53.0,21,12,RB
80,1948,71,210,2,1,4,10,1,65.0,53.0,21,12,RB
81,1970,71,210,-1,2,6,8,1,65.0,53.0,21,12,RB
82,1992,71,210,5,1,23,10,1,65.0,53.0,21,12,RB
83,2014,71,210,-3,2,28,5,1,65.0,53.0,21,12,RB
84,2039,69,250,2,1,17,10,1,65.0,53.0,21,12,FB
85,2061,69,250,1,2,19,8,1,65.0,53.0,21,12,FB
86,2080,71,210,3,1,29,10,1,65.0,53.0,21,12,RB
87,2102,71,210,0,2,22,17,1,65.0,53.0,21,12,RB
88,2118,68,206,6,1,8,10,1,64.0,57.0,0,0,RB
89,2142,73,210,3,1,49,10,1,64.0,57.0,0,0,RB
90,2162,68,206,5,3,43,4,1,64.0,57.0,0,0,RB
91,2184,68,206,2,2,31,3,1,64.0,57.0,0,0,RB
92,2207,73,210,-1,3,29,1,1,64.0,57.0,0,0,RB
93,2243,72,224,1,1,26,10,1,64.0,57.0,0,3,RB
94,2252,68,206,4,2,30,10,1,64.0,57.0,0,3,RB
95,2287,72,224,11,1,23,10,1,64.0,57.0,0,3,RB
96,2309,66,191,15,2,49,10,1,64.0,57.0,0,3,RB
97,2331,72,224,2,1,34,10,1,64.0,57.0,0,3,RB
98,2340,73,210,5,1,25,10,1,64.0,57.0,3,3,RB
99,2362,73,210,0,2,30,5,1,64.0,57.0,3,3,RB
100,2383,68,206,1,1,35,10,1,64.0,57.0,3,3,RB
101,2406,73,210,1,2,38,2,1,64.0,57.0,3,3,RB
102,2427,68,206,3,3,37,1,1,64.0,57.0,3,3,RB
103,2450,73,210,7,1,25,20,1,64.0,57.0,3,3,RB
104,2470,68,206,5,1,5,5,1,64.0,57.0,3,3,RB
105,2506,72,224,3,1,25,10,1,64.0,57.0,3,10,RB
106,2550,72,224,4,1,26,10,1,64.0,57.0,3,10,RB
107,2573,72,224,2,2,22,6,1,64.0,57.0,3,10,RB
108,2595,66,191,5,1,15,10,1,64.0,57.0,3,10,RB
109,2617,72,224,6,2,10,5,1,64.0,57.0,3,10,RB
110,2639,72,224,9,2,25,10,1,64.0,57.0,10,10,RB
111,2657,72,240,7,3,34,1,1,64.0,57.0,10,10,FB
112,2682,72,224,2,1,41,10,1,64.0,57.0,10,10,RB
113,2691,68,206,0,1,20,10,1,64.0,57.0,10,10,RB
114,2727,72,224,5,1,45,10,1,64.0,57.0,10,10,RB
115,2749,72,224,1,2,50,5,1,64.0,57.0,10,10,RB
116,2759,73,210,1,1,25,10,1,64.0,57.0,10,10,RB
117,2778,68,206,6,2,26,9,1,64.0,57.0,10,10,RB
118,2800,68,206,0,2,40,8,1,64.0,57.0,10,10,RB
119,2822,68,206,6,1,20,20,1,64.0,57.0,10,10,RB
120,2859,66,191,-3,1,29,10,1,64.0,57.0,10,13,RB
121,2881,66,191,3,2,26,13,1,64.0,57.0,10,13,RB
122,2902,72,224,2,1,44,10,1,64.0,57.0,10,13,RB
123,2911,68,206,-1,1,35,10,1,64.0,57.0,17,20,RB
124,2934,73,210,0,1,23,10,1,64.0,57.0,17,20,RB
125,2964,73,230,12,2,25,10,1,68.0,43.0,0,0,RB
126,2986,73,230,1,1,37,10,1,68.0,43.0,0,0,RB
127,2998,70,225,-1,1,36,10,1,68.0,43.0,0,0,RB
128,3021,70,225,7,2,40,6,1,68.0,43.0,0,0,RB
129,3042,70,225,1,1,48,10,1,68.0,43.0,0,0,RB
130,3066,72,222,0,1,35,10,1,68.0,43.0,0,0,RB
131,3081,68,200,4,2,11,10,1,68.0,43.0,0,0,RB
132,3123,73,220,1,1,25,10,1,68.0,43.0,0,3,HB
133,3145,73,220,8,1,35,10,1,68.0,43.0,0,3,HB
134,3167,73,220,1,2,43,2,1,68.0,43.0,0,3,HB
135,3174,70,225,4,1,47,10,1,68.0,43.0,0,3,RB
136,3206,69,205,2,1,19,10,1,68.0,43.0,0,3,HB
137,3227,69,205,23,1,35,10,1,68.0,43.0,0,3,HB
138,3249,69,205,3,1,42,10,1,68.0,43.0,0,3,HB
139,3272,73,230,1,2,39,7,1,68.0,43.0,0,3,RB
140,3294,69,205,1,1,12,10,1,68.0,43.0,0,3,HB
